ticker,cik,filing_date,open,close,adj_close,yest_open,yest_close,yest_adj_close,curr_mkt_cap
RGIN,1412659,1/7/10,NA,NA,NA,NA,NA,NA,2.3M
RGIN,1412659,1/13/11,0.69,0.69,0.69,0.7,0.7,0.7,2.3M
RGIN,1412659,1/13/12,0.11,0.13,0.13,0.1,0.1,0.1,2.3M
RGIN,1412659,1/15/13,0.1,0.1,0.1,0.1,0.1,0.1,2.3M
RGIN,1412659,1/14/14,0.03,0.03,0.03,0.03,0.03,0.03,2.3M
RGLG,1363598,5/29/08,0.77,0.77,0.77,0.79,0.79,0.79,47K
RGLG,1363598,5/28/09,NA,NA,NA,NA,NA,NA,47K
RGLG,1363598,5/25/10,0.14,0.2,0.2,0.19,0.19,0.19,47K
RGLS,1505512,2/19/13,NA,NA,NA,NA,NA,NA,829.7M
RGLS,1505512,2/28/14,11.47,11.23,11.23,11.64,11.64,11.64,829.7M
RGNA,1056598,4/15/09,0.42,0.44,0.44,0.39,0.39,0.39,N/A
RGNA,1056598,6/29/11,NA,NA,NA,NA,NA,NA,N/A
RGNA,1056598,12/20/11,0.01,0.01,0.01,0.01,0.01,0.01,N/A
RGP,1338613,3/31/06,22.23,22.1,11.5,21.5,21.5,11.19,10.178B
RGP,1338613,3/30/07,26.59,26.33,14.43,26.12,26.12,14.31,10.178B
RGP,1338613,2/29/08,29.45,29.66,17.09,29.64,29.64,17.08,10.178B
RGP,1338613,3/2/09,NA,NA,NA,NA,NA,NA,10.178B
RGP,1338613,3/1/10,NA,NA,NA,NA,NA,NA,10.178B
RGP,1338613,2/18/11,27.67,27.57,21.03,27.66,27.66,21.1,10.178B
RGP,1338613,2/22/12,27,26.71,21.89,27,27,22.12,10.178B
RGP,1338613,3/1/13,23.27,23.67,20.96,23.79,23.79,21.06,10.178B
RGP,1338613,2/27/14,27.73,26.97,25.64,27.69,27.69,26.32,10.178B
RGRX,707511,4/2/07,NA,NA,NA,NA,NA,NA,13.7M
RGRX,707511,3/28/08,1,0.96,0.96,0.99,0.99,0.99,13.7M
RGRX,707511,4/15/09,0.62,0.62,0.62,0.64,0.64,0.64,13.7M
RGRX,707511,3/31/10,0.57,0.57,0.57,0.58,0.58,0.58,13.7M
RGRX,707511,3/31/11,0.2,0.2,0.2,0.21,0.21,0.21,13.7M
RGRX,707511,4/4/12,0.18,0.18,0.18,0.16,0.16,0.16,13.7M
RGRX,707511,4/16/13,0.08,0.08,0.08,0.09,0.09,0.09,13.7M
RGRX,707511,4/4/14,0.19,0.19,0.19,0.2,0.2,0.2,13.7M
RGS,716643,9/16/96,NA,NA,NA,NA,NA,NA,969.4M
RGS,716643,9/24/97,24.38,24.94,14.75,24.75,24.75,14.64,969.4M
RGS,716643,9/17/98,28.12,28.62,16.99,28.5,28.5,16.92,969.4M
RGS,716643,9/17/99,18.75,19.12,17.12,18.56,18.56,16.61,969.4M
RGS,716643,9/24/02,27.03,27.01,24.66,27.26,27.26,24.88,969.4M
RGS,716643,9/17/03,32.95,33.1,30.34,33.05,33.05,30.3,969.4M
RGS,716643,9/10/04,41.72,41.72,38.39,41.84,41.84,38.5,969.4M
RGS,716643,9/9/05,41.36,41.79,38.6,41.29,41.29,38.14,969.4M
RGS,716643,9/11/06,NA,NA,NA,NA,NA,NA,969.4M
RGS,716643,8/29/07,32.42,33.7,31.36,32.19,32.19,29.95,969.4M
RGS,716643,8/29/08,27.55,27.46,25.73,27.75,27.75,25.96,969.4M
RGS,716643,8/28/09,16.89,16.51,15.64,16.73,16.73,15.81,969.4M
RGS,716643,8/27/10,17.06,16.97,16.19,16.95,16.95,16.17,969.4M
RGS,716643,8/26/11,14,14.2,13.7,14.05,14.05,13.56,969.4M
RGS,716643,8/29/12,18,17.97,17.59,17.99,17.99,17.61,969.4M
RGS,716643,8/27/13,16.66,16.78,16.65,17.16,17.16,17.03,969.4M
RGS,716643,8/26/14,13.98,14.09,14.09,14.75,14.75,14.75,969.4M
